superroot:Lemma superadmin users:charlie
roles:DP_Admin user users:alice
roles:DP_Admin scope partner:Dentsu
roles:DP_User user users:bob
roles:Dashboard_Admin user users:diana
roles:Report_Admin user users:ethan
roles:Campaign_Admin user users:farah
roles:Campaign_Forecast_Admin user users:george
partner:Dentsu root superroot:Lemma
partner:Dentsu user users:alice
partner:Dentsu role roles:DP_Admin
partner:WPP user users:bob
partner:Publicis user users:diana
partner:Havas user users:ethan
partner:GroupM user users:farah
partner:IPG user users:george
advertiser:adv_dentsu1 role roles:DP_Admin
advertiser:adv_dentsu1 parent partner:Dentsu
advertiser:adv_dentsu2 parent partner:Dentsu
advertiser:adv_wpp1 parent partner:WPP
advertiser:adv_groupm1 parent partner:GroupM
feature:partners parent advertiser:adv_dentsu1
feature:partners role roles:DP_Admin
feature:dashboard parent advertiser:adv_dentsu1
feature:dashboard role roles:DP_Admin
feature:reports role roles:Report_Admin
feature:campaigns role roles:DP_Admin
feature:campaign_forecast role roles:DP_Admin
feature:c1 role roles:DP_User
feature:c2 role roles:DP_Admin
feature:campaigns parent feature:dashboard
feature:campaign_forecast parent feature:dashboard
feature:c1 parent feature:campaign_forecast
feature:c2 parent feature:c1
feature:partners user users:alice
feature:partner_edit role roles:DP_Admin
feature:partner_list role roles:DP_Admin
feature:partner_list parent feature:partners
feature:partner_edit parent feature:partners
feature:tofu parent feature:partner_edit
feature:mofu parent feature:partner_edit
feature:bofu parent feature:mofu
